PR;RED;CARRETERA;TRAMO;LONGITUD;pk i;pk f;"ANCHURA
ASF
(m.)";"ESTAC.
AFORO"
BU;L;BU-122;DE ROA DE DUERO (BU-130) A FUENTECÉN (N-122);8.6;0.0;8.6;5.2;BU-4815
BU;L;BU-134;DE ROA DE DUERO (BU-130) A LÍMITE DE PROVINCIA DE VALLADOLID;10.5;0.0;10.5;5.0;BU-4860
BU;L;BU-200;DE ADRADA DE HAZA A N-I POR CAMPILLO DE ARANDA;11.97;5.73;17.7;4.6;BU-4865
BU;L;BU-202;DE ADRADA DE HAZA (BU-200) A MORADILLO DE ROA;8.74;0.0;8.74;5.0;BU-4970
BU;L;BU-202;DE MORADILLO DE ROA A N-I;8.46;8.74;17.2;4.8;BU-4810
BU;L;BU-210;DE N-122 A LÍMITE DE PROVINCIA DE SEGOVIA;7.1;0.0;7.1;4.7;BU-4810
BU;L;BU-434;DE ARENILLAS DE RIOPISUERGA (BU-400) A LÍMITE DE PROVINCIA DE PALENCIA;3.31;0.0;3.31;5.3;PA-4760
BU;L;BU-504;DE BU-530 A FRÍAS;4.43;0.0;4.43;6.0;BU-4355
BU;L;BU-504;DE FRÍAS A BUSTO DE BUREBA (N-232);17.62;4.43;22.05;7.0;BU-4775
BU;L;BU-504;DE BUSTO DE BUREBA (N-232) A CALZADA DE BUREBA (SC-BU-4);5.89;22.05;27.94;7.0;BU-4775
BU;L;BU-520;DE QUINTANA MARTÍN GALÍNDEZ (BU-530) A FRÍAS (BU-504);6.9;0.0;6.9;7.0;BU-4355
BU;L;BU-532;DE PEDROSA DE TOBALINA (BU-550) A BARCINA DEL BARCO (BU-530);13.6;0.0;13.6;6.1;BU-4770
BU;L;BU-555;DE LÍMITE DE C.A. DEL PAÍS VASCO A LÍMITE DE C.A. DEL PAÍS VASCO;3.05;0.0;3.05;5.8;BU-4770
BU;L;BU-561;DE VILLARCAYO (CL-629) A SANTELICES (BU-526);20.2;0.0;20.2;6.3;BU-4450
BU;L;BU-571;DE LAS MACHORRAS (BU-570) A LÍMITE DE C.A. DE CANTABRIA (PTO DE LA SÍA);7.3;0.0;7.3;4.6;BU-4875
BU;L;BU-572;DE SALCEDILLO (BU-570) A L.C.A. DE CANTABRIA (PTO. LUNADA);8.6;0.0;8.6;4.9;BU-4875
BU;L;BU-610;DE SASAMÓN (BU-640) A SOTRESGUDO (BU-627);21.7;0.0;21.7;5.1;BU-4475
BU;L;BU-621;DE VILLADIEGO (BU-601) A QUINTANAS DE VALDELUCIO (N-627);31.9;0.0;31.9;5.1;BU-4750
BU;L;BU-704;DE VILLALÓMEZ (BU-703) A TOSANTOS (N-120);7.8;0.0;7.8;3.5;BU-4945
BU;L;BU-812;DE BU-811 A BU-811 POR VILLAGALIJO;2.4;0.0;2.4;4.5;BU-4840
BU;L;BU-813;DE BU-820 A PRADOLUENGO (BU-811);13.8;0.0;13.8;7.1;BU-4700
BU;L;BU-912;DE N-I A QUEMADA (BU-925);11.8;0.0;11.8;5.0;BU-4740
BU;L;BU-923;DE  PEÑARANDA DE DUERO (BU-925) A LA VID (N-122);6.75;18.1;24.85;5.3;BU-4685
BU;L;BU-930;DE SAN JUAN DEL MONTE (BU-925) A BU-945 POR VADOCONDES;16.9;0.0;16.9;5.0;BU-4845
LE;B;A-231;DE ONZONILLA A SANTAS MARTAS (N-630);20.15;0.0;20.15;10.5;LE-0630
LE;B;A-231;DE SANTAS MARTAS (N-630) A EL BURGO RANERO;14.25;20.15;34.4;10.5;LE-0630
LE;B;A-231;DE EL BURGO RANERO A SAHAGÚN (LE-232);15.6;34.4;50.0;10.5;LE-1615
LE;B;CL-621;DE LÍMITE DE PROVINCIA DE VALLADOLID A MATANZA DE LOS OTEROS;3.5;8.3;11.8;10.0;VA-3160
LE;B;CL-622;DE RIBASECA (N-630) A SANTA MARÍA DEL PÁRAMO (CL-625);26.75;0.0;26.75;9.0;LE-0070
LE;B;CL-623;DE SAN ANDRÉS DEL RABANEDO A LORENZANA (LE-129);8.0;0.0;8.0;9.0;LE-1105
LE;B;CL-623;DE LE-460 A LA MAGDALENA (CL-626);9.0;18.0;27.0;9.0;LE-3765
LE;B;CL-625;CIRCUNVALACIÓN DE SANTA MARÍA DEL PÁRAMO;5.13;0.0;5.13;8.1;LE-3785
LE;B;CL-626;DE CABOALLES DE ABAJO (LE-497) A CL-631;2.05;7.0;9.05;6.35;LE-1205
LE;B;CL-626;DE  PIEDRAFITA DE BABIA (LE-495) A PUENTE ORUGO (LE-481);17.46;23.54;41.0;10.0;LE-3125
LE;B;CL-626;DE PUENTE ORUGO (LE-481) A LE-473;15.28;41.0;56.28;8.5;LE-1120
LE;B;CL-626;DE LA MAGDALENA (LE-420) A CL-623;3.16;79.9;83.06;9.1;LE-1110
LE;B;CL-626;DE CL-624 (BOÑAR) A N-621;18.3;124.1;142.4;8.0;LE-3560
LE;B;CL-626;DE CISTIERNA (FINAL DE VARIANTE) A LE-211;7.78;146.22;154.0;8.1;LE-3025
LE;B;CL-626;DE LE-234 A LÍMITE DE PROVINCIA DE PALENCIA;6.6;162.9;169.5;8.0;PA-3240
LE;B;CL-631;DE CUBILLOS DEL SIL A TORENO;12.39;5.79;18.18;10.5;LE-0190
LE;B;CL-631;DE PÁRAMO DEL SIL (LE-711) A CL-626 (VILLABLINO);25.725;35.33;61.05;10.3;LE-3200
LE;P;LE-125;DE A-6 (LA BAÑEZA) A LE-133;18.64;2.76;21.4;8.1;LE-4085
LE;P;LE-125;DE LE-133 A NOGAREJAS (LE-111);4.06;21.4;25.46;8.05;LE-1090
LE;P;LE-125;DE NOGAREJAS (LE-111), A CASTROCONTRIGO (LE-126);5.14;25.46;30.6;8.0;LE-4095
LE;P;LE-125;DE CASTROCONTRIGO (LE-126) A LÍMITE DE PROVINCIA DE ZAMORA;4.8;30.6;35.4;7.0;ZA-4150
LE;P;LE-126;DE CASTROCONTRIGO (LE-125) A TRUCHAS;27.4;0.0;27.4;7.9;LE-4635
LE;P;LE-126;LA BAÑA (LE-164) A LÍMITE DE C.A. DE GALICIA;11.3;55.33;66.63;6.0;LE-4640
LE;P;LE-231;DE SAHECHORES (N-625) A ALMANZA (LE-232);15.4;0.0;15.4;8.1;LE-4285
LE;P;LE-232;DE SAHAGÚN (N-120) A CEA;10.27;0.0;10.27;8.8;LE-4010
LE;P;LE-232;DE ALMANZA (LE-231)  A PUENTE ALMUHEY (CL-626);16.0;32.65;48.65;8.0;LE-4295
LE;P;LE-420;DE N-120 A VILLANUEVA DEL CARRIZO (LE-413);17.21;17.4;34.61;8.0;LE-4380
LE;P;LE-451;DE ASTORGA (N-120) A QUINTANA DEL CASTILLO;24.3;0.0;24.3;8.25;LE-4415
LE;P;LE-451;DE QUINTANA DEL CASTILLO A LE-460;17.12;24.3;41.42;8.0;LE-4420
LE;P;LE-460;DE TORRE DEL BIERZO (LE-106) A TREMOR DE ARRIBA;20.0;0.0;20.0;7.0;LE-4655
LE;P;LE-497;DE CABOALLES DE ABAJO (CL-626) A LÍMITE DE C.A. DE ASTURIAS;10.4;0.0;10.4;7.5;LE-4210
LE;P;LE-512;DE VALENCIA DE DON JUAN (CL-621) A VALDERAS (LE-524);25.6;27.5;53.1;8.1;LE-4485
LE;P;LE-715;DE FRESNEDO (CL-631) A BERLANGA DEL BIERZO;6.15;0.0;6.15;8.0;LE-4685
LE;P;LE-715;DE BERLANGA DEL BIERZO A FABERO (LE-711);7.95;6.15;14.1;8.0;LE-4685
LE;L;LE-114;DE LA BAÑEZA (A-6) A LÍMITE DE PROVINCIA DE ZAMORA;25.4;0.0;25.4;7.0;LE-4240
LE;L;LE-133;DE DESTRIANA A LE-125;14.95;16.8;31.75;7.0;LE-4245
LE;L;LE-142;DE ASTORGA (N-VI) A FONCEBADÓN;27.5;0.0;27.5;5.7;LE-4255
LE;L;LE-164;DE PUENTE DE DOMINGO FLÓREZ (N-536) A LLAMAS DE CABRERA (LE-7311);20.46;0.0;20.46;5.8;LE-4735
LE;L;LE-321;DE LA VECILLA (CL-626) A LÍMITE DE C.A. DE ASTURIAS;27.99;17.75;45.74;5.1;LE-4335
LE;L;LE-465;DE LE-5330 (ACCESO A-6) A LE-460;5.7;0.0;5.7;8.1;LE-4775
LE;L;LE-491;DE VEGA DE VIEJOS (LE-495) A CL-626;2.6;0.0;2.6;4.0;LE-4220
LE;L;LE-510;DE VILLAFER (LE-524) A LÍMITE DE PROVINCIA DE ZAMORA;1.14;30.64;31.78;6.0;ZA-4550
LE;L;LE-524;DE VALDERAS (LE-512)  A LÍMITE DE PROVINCIA DE ZAMORA;6.1;15.9;22.0;5.0;LE-4475
LE;L;LE-541;DE VALDERAS (LE-512) A LÍMITE DE PROVINCIA DE VALLADOLID;5.2;0.0;5.2;5.0;VA-4465
LE;L;LE-723;DE AMBASMESTAS (N-VI) A LÍMITE DE C.A. DE GALICIA;13.8;0.0;13.8;5.9;LE-4710
LE;L;LE-932;DE  LÍMITE DE PROVINCIA DE LEÓN A  LÍMITE DE PROVINCIA DE VALLADOLID;1.15;21.7;22.85;7.0;VA-4520
LE;L;LE-932;DE ALBIRES (N-601) A LÍMITE DE PROVINCIA DE VALLADOLID;1.5;24.6;26.1;7.0;VA-4520
LE;L;LE-941;DE SAHAGÚN (LE-232) A LÍMITE DE PROVINCIA DE VALLADOLID;11.7;0.0;11.7;6.0;VA-4430
P;B;A-231;DE LÍMITE DE PROVINCIA DE LEÓN A CARRIÓN DE LOS CONDES (CL-615);29.1;55.75;84.85;10.5;PA-0745
P;B;A-231;DE OSORNO (A-67) A LÍMITE DE PROVINCIA DE BURGOS;4.85;105.4;110.25;10.5;BU-1965
P;B;A-610;DE PALENCIA A MAGAZ (N-620) TRAMO ENTRE A-67 Y A-62;6.07;0.0;6.07;10.5;PA-0005
P;B;CL-612;DE VILLAMARTÍN DE CAMPOS (N-610) A TORREMORMOJÓN (P-921);12.34;0.0;12.34;6.4;PA-3025
P;B;CL-612;DE (P-901) VILLERÍAS DE CAMPOS  A LÍMITE PROVINCIA DE VALLADOLID;2.85;18.55;21.4;6.2;VA-3145
P;B;CL-615;DE CL-613 A P-991;4.25;1.27;5.52;10.1;PA-3075
P;B;CL-615;DE P-991 A  LA VENTA (P-990);4.48;5.52;10.0;10.3;PA-3085
