AÑO;T.RED;NOMBRE;DESCRIPCIÓN;LONG.;IMD;ACV;ASV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2019;CP;SG-223;DE CUÉLLAR (CL-601) A LÍMITE DE PROVINCIA DE VALLADOLID;7.715;1635.0;0.0;7.0;0.0;0.0;0.0;0.0;152.037769005;0.0;0.0
2019;CL;SG-231;DE CRUCE CON CL-603 A CRUCE CON SG-205;9.5;430.0;0.0;5.0;0.0;0.0;0.0;0.0;335.339783035;0.0;0.0
2019;CL;SG-241;DE SEPÚLVEDA (SG-232) A LÍMITE DE PROVINCIA DE VALLADOLID;39.78;324.57817999;2.0;11.0;0.0;2.0;0.0;42.43781661;275.845807965;0.0;0.0
2019;CP;SG-332;DE NAVALMANZANO (CL-601) A NAVAS DE ORO (SG-342);15.8;1157.0;1.0;9.0;0.0;1.0;0.0;14.987068408;149.87068408;0.0;0.0
2019;CP;SG-342;DE CUÉLLAR (CL-601) A SANTA MARÍA LA REAL DE NIEVA, CRUCE CON CL-605;43.035;1669.62344603;10.0;21.0;0.0;14.0;0.0;38.1299989638;118.202996788;0.0;0.0
2019;CL;SG-411;DE CRUCE CON N-601 A CRUCE CON N-VI;8.3;1066.0;0.0;4.0;0.0;0.0;0.0;0.0;123.860215077;0.0;0.0
2019;CL;SG-413;DE CRUCE CON N-601 A LÍMITE DE PROVINCIA DE ÁVILA;11.1;314.0;0.0;2.0;0.0;0.0;0.0;0.0;157.211569828;0.0;0.0
2019;CL;SG-722;DE CRUCE CON N-110 A CRUCE CON N-603;9.25;275.0;2.0;0.0;0.0;2.0;0.0;215.408434587;215.408434587;0.0;0.0
2019;CL;SG-723;DE CRUCE CON N-110 A OTERO DE HERREROS (N-603);8.3;1629.0;0.0;2.0;0.0;0.0;0.0;0.0;40.5263932695;0.0;0.0
2019;CP;SO-132;DE CRUCE CON N-II A CRUCE CON SO-160;62.13;300.260904555;0.0;14.0;0.0;0.0;0.0;0.0;205.605642518;0.0;0.0
2019;CP;SO-160;DE EL BURGO DE OSMA (N-122) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;40.65;400.426814268;0.0;26.0;0.0;0.0;0.0;0.0;437.619616905;0.0;0.0
2019;CP;SO-340;DE ALMENAR DE SORIA (N-234) A  MONTEAGUDO DE LAS VICARÍAS_x000D_;38.028;626.066240665;0.0;19.0;0.0;0.0;0.0;0.0;218.64369858;0.0;0.0
2019;CL;SO-350;DE GÓMARA (CL-101) A LÍMITE DE C.A. DE ARAGÓN;33.865;404.0;0.0;12.0;0.0;0.0;0.0;0.0;240.301198328;0.0;0.0
2019;CP;SO-380;DE MATALEBRERAS (N-122) A ÓLVEGA;8.87;316.0;0.0;9.0;0.0;0.0;0.0;0.0;879.708812473;0.0;0.0
2019;CL;SO-620;DE CRUCE CON SO-615 (LA RUBIA) A CRUCE CON N-111;8.457;179.0;0.0;1.0;0.0;0.0;0.0;0.0;180.982996295;0.0;0.0
2019;CL;SO-630;DE CRUCE CON SO-615 A CRUCE CON N-122;45.985;298.687832989;1.0;5.0;0.0;1.0;0.0;19.9468082454;119.680849472;0.0;0.0
2019;CP;SO-830;DE VINUESA (SO-820) A LÍMITE DE C.A. DE LA RIOJA;31.478;412.063790584;1.0;3.0;0.0;1.0;0.0;21.1220249459;84.4880997836;0.0;0.0
2019;CL;SO-910;DE CRUCE CON N-122 A CRUCE CON N-234 (ABEJAR);12.364;290.0;0.0;5.0;0.0;0.0;0.0;0.0;382.049948599;0.0;0.0
2019;;TOTAL;;9504.873;;802.0;5448.0;38.0;1129.0;0.855612784213;18.0579329721;140.725786877;3.25621251071;4.73815461347
2019;CP;VA-103;DE CRUCE CON N-620 A CRUCE CON VA-140 (ESGUEVILLAS);13.5;594.851851852;0.0;6.0;0.0;0.0;0.0;0.0;204.699036976;0.0;0.0
2019;CP;VA-140;DE VALLADOLID A LÍMITE DE PROVINCIA DE PALENCIA;54.4;2004.43384191;8.0;47.0;0.0;10.0;0.0;20.1004831368;138.190821566;0.0;0.0
2019;CL;VA-203;DE QUINTANILLA DE ONÉSIMO (N-122) A LÍMITE DE PROVINCIA DE SEGOVIA;23.0;242.687391304;1.0;9.0;0.0;1.0;0.0;49.0831115247;490.831115247;0.0;0.0
2019;CP;VA-223;DE PEÑAFIEL A LÍMITE DE PROVINCIA DE SEGOVIA;19.861;1848.52751624;1.0;9.0;0.0;1.0;0.0;7.46242715036;74.6242715036;0.0;0.0
2019;CL;VA-333;DE ÍSCAR (CL-602) A LÍMITE DE PROVINCIA DE SEGOVIA;0.9;1771.0;0.0;1.0;0.0;0.0;0.0;0.0;171.888200477;0.0;0.0
2019;CP;VA-505;DE MEDINA DE RIOSECO A VILLARDEFRADES (N-VI);25.075;1030.78584247;2.0;13.0;0.0;2.0;0.0;21.1996038017;158.997028512;0.0;0.0
2019;CL;VA-524;DE TORDEHUMOS (VA-505) A LÍMITE DE PROVINCIA DE ZAMORA;21.683;254.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;VA-541;DE BECILLA DE VALDERADUEY (N-601) A LÍMITE DE PROVINCIA DE LEÓN;13.72;252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;VA-602;DE CRUCE CON N-620 A LÍMITE DE PROVINCIA DE ZAMORA;6.316;262.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;VA-705;DE VILLARDEFRADES A LÍMITE DE PROVINCIA DE ZAMORA;15.1;784.0;0.0;4.0;0.0;0.0;0.0;0.0;92.5708213068;0.0;0.0
2019;CL;VA-800;DE NAVA DEL REY (CL-602) A LÍMITE DE PROVINCIA DE SALAMANCA;23.994;316.608152038;0.0;5.0;0.0;0.0;0.0;0.0;180.323526662;0.0;0.0
2019;CP;VA-801;DE ATAQUINES (N-VI) A ALAEJOS (N-620);41.601;474.262782145;3.0;7.0;0.0;3.0;0.0;41.6586867716;138.862289239;0.0;0.0
2019;CL;VA-900;DE A-62 (VALLADOLID) A A-62 (CUBILLAS DE SANTA MARTA);30.3;948.292079208;7.0;7.0;0.0;9.0;0.0;66.7452592094;133.490518419;0.0;0.0
2019;CL;VA-912;DE MUCIENTES A LÍMITE DE PROVINCIA DE PALENCIA;24.8;393.0;0.0;7.0;0.0;0.0;0.0;0.0;196.770932773;0.0;0.0
2019;CL;VA-924;DE VILLALÓN DE CAMPOS (VA-905) A LÍMITE DE PROVINCIA DE PALENCIA;9.5;111.0;0.0;1.0;0.0;0.0;0.0;0.0;259.812804874;0.0;0.0
2019;CL;VA-931;DE BECILLA DE VALDERADUEY (N-601) A LÍMITE DE PROVINCIA DE PALENCIA;24.5;247.428571429;0.0;1.0;0.0;0.0;0.0;0.0;45.1950845826;0.0;0.0
2019;CP;ZA-100;DE SANTOVENIA (N-630) A TÁBARA (N-631);35.633;665.185726714;1.0;24.0;0.0;1.0;0.0;11.5587754261;288.969385652;0.0;0.0
2019;CL;ZA-111;DE RIONEGRO DEL PUENTE (N-525) A LÍMITE DE PROVINCIA DE LEÓN;18.991;130.0;0.0;4.0;0.0;0.0;0.0;0.0;443.890592288;0.0;0.0
2019;CL;ZA-123;DE CRUCE CON N-630 A TÁBARA;20.08;461.0;0.0;11.0;0.0;0.0;0.0;0.0;325.563108751;0.0;0.0
2019;CP;ZA-305;DE CRUCE CON N-630 A LÍMITE DE PROVINCIA DE SALAMANCA;41.696;885.642795472;0.0;6.0;0.0;0.0;0.0;0.0;44.5148995609;0.0;0.0
2019;CP;ZA-315;DE CRUCE CON CL-527 A LÍMITE DE PROVINCIA DE SALAMANCA;6.471;559.0;0.0;3.0;0.0;0.0;0.0;0.0;227.219281683;0.0;0.0
2019;CL;ZA-513;DE FUENTES DE ROPEL A LÍMITE DE PROVINCIA DE LEÓN;8.253;976.0;1.0;6.0;0.0;1.0;0.0;34.0130417975;238.091292582;0.0;0.0
2019;CP;ZA-605;DE TORO (CL-602) A LÍMITE DE PROVINCIA DE SALAMANCA;38.062;1183.9183963;1.0;11.0;0.0;2.0;0.0;6.07986255872;72.9583507047;0.0;0.0
2019;CL;ZA-611;DE CRUCE CON CL-602 A CRUCE CON ZA-602;37.5;345.627626667;0.0;3.0;0.0;0.0;0.0;0.0;63.4145147208;0.0;0.0
2019;CL;ZA-623;DE MORALEJA DEL VINO A CASASECA DE LAS CHANAS;3.464;389.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CL;ZA-633;DE CRUCE CON CL-602 A CRUCE CON N-122 POR TORO;3.514;1047.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;CP;ZA-711;DE CRUCE CON CL-612 A CRUCE CON N-122;9.839;615.0;0.0;1.0;0.0;0.0;0.0;0.0;45.277356123;0.0;0.0
2019;CL;ZA-712;DE ZA-705 A LÍMITE MUNICIPAL DE TORO_x000D_;1.782;389.0;0.0;1.0;0.0;0.0;0.0;0.0;395.229938257;0.0;0.0
2019;CL;ZA-713;DE CRUCE CON N-122 (TORO) A CASTRONUEVO (ZA-714);25.246;788.979165016;2.0;1.0;0.0;2.0;0.0;27.5092670055;41.2639005083;0.0;0.0
2019;CL;ZA-902;DE TÁBARA (N-631) A FONFRÍA (N-122);35.924;146.899064692;0.0;4.0;0.0;0.0;0.0;0.0;207.665048819;0.0;0.0
2019;B;A-601;DE VALLADOLID A SEGOVIA;104.3;9589.91950144;31.0;98.0;0.0;41.0;0.0;8.49120956046;35.334388171;0.0;0.0
2019;B;A-610;DE PALENCIA A MAGAZ (N-620);7.55;10448.0;2.0;9.0;0.0;2.0;0.0;6.94635565702;38.2049561136;0.0;0.0
2019;CP;AV-102;DE PIEDRAHÍTA (N-110) A LÍMITE DE PROVINCIA DE SALAMANCA;12.55;1466.17792829;1.0;8.0;0.0;1.0;0.0;14.8893840597;134.004456537;0.0;0.0
2019;CL;AV-104;DE PIEDRAHÍTA (CRUCE CON AV-102) A LÍMITE DE PROVINCIA DE SALAMANCA;9.466;445.879991549;0.0;1.0;0.0;0.0;0.0;0.0;64.9116503755;0.0;0.0
2019;CP;AV-105;DE AREVALILLO (CL-510) A LÍMITE DE PROVINCIA DE SALAMANCA (AV-110);19.4;458.0;0.0;5.0;0.0;0.0;0.0;0.0;154.173571073;0.0;0.0
2019;CL;AV-114;DE SAN PEDRO DEL ARROYO (CRUCE CON N-501) A MUÑICO (CRUCE CON AV-110);17.328;306.0;1.0;0.0;0.0;1.0;0.0;51.6698582105;51.6698582105;0.0;0.0
